Timestamp,Desired Project Name,Desired Project Ticker (1-10 alphanumeric characters),Wallet address that created the pre-existing collection (this is the ONLY address that will be able to use the name and ticker above set above),Link on asteroidprotocol.io to the first NFT in your collection,Telegram handle (in case we have follow-up questions),Twitter
2/23/2024 13:09:56,Tenth Base,B10,cosmos1wuv9xss5vc35wmlf9v0c3dtknqq3n0q2x3upmh,https://asteroidprotocol.io/app/inscription/6416AE1D0AFF18F0713AA8457FFA824ED03707DE15DED4B1CE4F965890DCD122,,@NathanC41378633
2/23/2024 13:13:59,Cosmos Worms,CWRMS,cosmos1uqaaqkc4jxhxf7qm357qce2xdaljkh07sx96sz,https://asteroidprotocol.io/app/inscription/A7DD3F3CFA389F72E4D17A0DE265B54473540A867A341B773A0416CDDB976FC5,Purple Cosmos,@cosmosworms
2/23/2024 13:16:47,Multi Worms,MWRMS,cosmos1uqaaqkc4jxhxf7qm357qce2xdaljkh07sx96sz,https://asteroidprotocol.io/app/inscription/AD519F647B1C7ACB20B3DDF22088833D52099AC36BFF5F5FD3057C548E4943D7,Purple Cosmos,@cosmosworms
2/23/2024 13:30:58,AstroBeras,AB,cosmos1pntz3y5qla2m0dv2udh8nx8p6fp4xj5uqj4sq0,https://asteroidprotocol.io/app/inscription/5927965B5939CBB766408B2FFEF8E901A34F79B9236A205873D774EBF7057A84,,@astroberas
2/23/2024 13:36:20,Orbitals,O,cosmos1pntz3y5qla2m0dv2udh8nx8p6fp4xj5uqj4sq0,https://asteroidprotocol.io/app/inscription/28E7D3504D6B18E2231F20A3EDF70D02B09945E2FD29C9138CBC25F02DFC0E67,,@astroberas
2/23/2024 13:39:28,Teotl,TEO,cosmos1pntz3y5qla2m0dv2udh8nx8p6fp4xj5uqj4sq0,https://asteroidprotocol.io/app/inscription/88F52EE60E05EAF4EDC6C99232B9CB9F3CD5919700126D451EE8945E319801F3,,@astroberas
2/23/2024 13:59:28,AstroNutz,NUTZ,cosmos1es6dske653hp9u50tdcuuzdhvmqvv6ezp7xtav,https://asteroidprotocol.io/app/inscription/B1297883BF2F8D2E0B783DA1EC2A468D15F8DD7D052B756FA2CFD0CADD5388AB,@Design90001,
2/23/2024 14:43:18,CATS,CAT,cosmos1k5ar3emunr65g6wxw0gj9xvpkj8tv6ge5cx9rz,https://asteroidprotocol.io/app/inscription/F4DD60D6BB8C00CD7D9868962DF5A907E207D6AAE4A1B1DEF80DBD41D4326547,@TigerFuture,
2/23/2024 14:45:09,Cosmic Gems,CGEMS,cosmos19sgvl0hveap64dj3t4a4jvy8xzyk9wlch60k7z,https://asteroidprotocol.io/app/inscription/2A4B1649E4B317C4AFA892BA3B7675A9071A82D4DB65C9DF46BB546C5A4DDB8D,@pedroalm0,https://twitter.com/CGEMS_CosmosHub
2/23/2024 14:57:25,ROBOTZ,ROBOTZ,cosmos1d8mlymdhs8ld02nrmaza22rqdg02gu6jq44ghd,https://asteroidprotocol.io/app/inscription/591EA8CCC8FE17F3ED16E5EC40756687A504D4CE000403D546748BECE3E9EDB8,pedroalm0,https://twitter.com/onepixel_1
2/23/2024 16:04:47,STONER CHIX,STCHIX,cosmos103rlae22qlqevmqvfq2j5mpdk6rxka4l66a9sr,https://asteroidprotocol.io/app/inscription/EF6C1117923EC6279BF67CE11204709204D05934D9CA0349ACDE86C60B024084,https://t.me/STONERCHIX,https://twitter.com/stonerchixnft
2/23/2024 16:22:05,Cosmos Kidz,Kidz,cosmos1r2ekp9vcyjp9j7ln2xqp67xraxe6ng0apw89a2,https://asteroidprotocol.io/app/inscription/6D0A65E412EFC25293E2468531810EFD58F2F1159A0626F8D9FFF480F7420F6D,albion61,eee_power
2/23/2024 17:41:35,Nelson Mandela,MANDELA,cosmos167vm66zdstqy6uc8lx9kmn0k8z0q6rhgcdmpln,https://asteroidprotocol.io/app/token/MANDELA,@Bimi_h,https://twitter.com/burhoti
2/23/2024 18:19:35,Asteria Chroma,Chroma,cosmos1jjlltckj572cdscmhl5wg0dwprvn3ax99u2jg9,https://asteroidprotocol.io/app/inscription/09F086F832082DDC7EDDAB644C90502EA811A488756002392414365E3CA5B825,"No Telegram, please contact on Twitter",@AsteriaChroma
2/23/2024 18:21:48,Asteria Chroma Visage,Visage,cosmos1jjlltckj572cdscmhl5wg0dwprvn3ax99u2jg9,https://asteroidprotocol.io/app/inscription/0A3A222599DBAFDDAD17DAD522E3747923D72269A8297D8F4E6A191D02BA2B94,"No Telegram, please contact on Twitter",@AsteriaChroma
2/23/2024 18:57:28,QUIRKS,QUIRKS,cosmos14lsegp95k4frtustd5uw7ugq6wc0eyvzfgarlq,https://asteroidprotocol.io/app/inscription/EDE810FDE408B0594D36264B9548E5C9BECF179A2608A021ACAF74D740C8354B,pedroalm0,https://twitter.com/DgtlGenesisPT
2/23/2024 19:10:13,Shabari In The Dark,Na,cosmos10hncce2cs2hlv7l4djw4syhx0sevdz92qzudu9,https://asteroidprotocol.io/inscription/9DB2A835F12C6729EA14D91DB31D837C949A1A1D9F55E85D6A1CF444D3BAB7F4,HooliganDegen,HooliganDegen
